"","Estimate","95%.CIs"
"b_Intercept",-9.613,"[-10.069 - -9.178]"
"b_lrs",0.068,"[0.044 - 0.093]"
"b_lifespan",0.013,"[0.01 - 0.017]"
"b_ParishLin",-0.353,"[-0.836 - 0.146]"
"b_SexMale",-0.554,"[-1.019 - -0.091]"
"b_prop.lrs.non.migrators",0.494,"[0.138 - 0.858]"
"b_ParishLin:SexMale",0.278,"[0.09 - 0.468]"
"b_ParishLin:prop.lrs.non.migrators",-0.138,"[-0.591 - 0.314]"
"b_SexMale:prop.lrs.non.migrators",0.294,"[-0.195 - 0.794]"
