IDp,lifespan,lrs,lrssa,ngo.kk,prop.lrs.non.migrators
P0000037541,NA,NA,NA,NA,NA
P0000037542,NA,NA,NA,NA,NA
P0000037543,NA,NA,NA,NA,NA
P0000037544,NA,NA,NA,NA,NA
P0000037545,NA,NA,NA,NA,NA
P0000037546,NA,NA,NA,NA,NA
P0000037547,NA,NA,NA,NA,NA
P0000037548,NA,NA,NA,NA,NA
P0000037549,NA,NA,NA,NA,NA
P0000037550,NA,NA,NA,NA,NA
P0000037551,NA,NA,NA,NA,NA
P0000037552,62.673957621326,2,2,0,1
P0000037554,NA,NA,NA,NA,NA
P0000037556,NA,NA,NA,NA,NA
P0000037557,NA,NA,NA,NA,NA
