IDp,lifespan,lrs,lrssa,ngo.kk,prop.lrs.non.migrators
P0000037029,NA,NA,NA,NA,NA
P0000037030,89.1237183868763,1,1,0,1
P0000037031,NA,NA,NA,NA,NA
P0000037032,60.1667805878332,1,1,0,1
P0000037033,NA,NA,NA,NA,NA
P0000037034,NA,NA,NA,NA,NA
P0000037035,71.0211893369788,3,3,0,1
P0000037036,NA,NA,NA,NA,NA
P0000037037,NA,NA,NA,NA,NA
P0000037038,NA,NA,NA,NA,NA
P0000037039,79.1907040328093,3,3,2,1
P0000037039,79.1907040328093,3,3,2,1
P0000037040,NA,NA,NA,NA,NA
P0000037043,NA,NA,NA,NA,NA
P0000037044,NA,NA,NA,NA,NA
P0000037045,37.727956254272,0,0,0,1
P0000037046,NA,NA,NA,NA,NA
P0000037047,NA,NA,NA,NA,NA
P0000037048,NA,NA,NA,NA,NA
P0000037049,NA,NA,NA,NA,NA
P0000037050,NA,NA,NA,NA,NA
P0000037051,NA,NA,NA,NA,NA
P0000037052,NA,NA,NA,NA,NA
P0000037053,NA,NA,NA,NA,NA
P0000037054,34.0177717019822,2,2,0,1
P0000037055,NA,NA,NA,NA,NA
P0000037057,NA,NA,NA,NA,NA
P0000037058,NA,NA,NA,NA,NA
P0000037059,NA,NA,NA,NA,NA
P0000037060,66.714969241285,0,0,0,1
P0000037061,NA,NA,NA,NA,NA
P0000037062,NA,NA,NA,NA,NA
P0000037063,61.501025290499,2,2,0,1
P0000037064,NA,NA,NA,NA,NA
P0000037065,27.0102529049897,0,0,0,1
P0000037066,NA,NA,NA,NA,NA
P0000037067,NA,NA,NA,NA,NA
P0000037069,NA,NA,NA,NA,NA
P0000037070,NA,NA,NA,NA,NA
P0000037071,3.35475051264525,0,0,0,1
P0000037072,NA,NA,NA,NA,NA
P0000037073,39.5516062884484,0,0,0,1
P0000037074,NA,NA,NA,NA,NA
P0000037075,NA,NA,NA,NA,NA
P0000037076,88.8694463431306,0,0,0,1
P0000037077,NA,NA,NA,NA,NA
P0000037078,NA,NA,NA,NA,NA
P0000037079,87.0758714969241,3,3,0,1
P0000037080,NA,NA,NA,NA,NA
P0000037081,NA,NA,NA,NA,NA
P0000037082,NA,NA,NA,NA,NA
P0000037083,NA,NA,NA,NA,NA
P0000037084,NA,NA,NA,NA,NA
P0000037085,NA,NA,NA,NA,NA
P0000037086,NA,NA,NA,NA,NA
P0000037087,NA,NA,NA,NA,NA
P0000037088,NA,NA,NA,NA,NA
P0000037090,NA,NA,NA,NA,NA
P0000037091,NA,NA,NA,NA,NA
P0000037092,NA,NA,NA,NA,NA
P0000037093,76.174982911825,3,3,0,1
P0000037093,76.174982911825,3,3,0,1
P0000037093,76.174982911825,3,3,0,1
P0000037093,76.174982911825,3,3,0,1
P0000037095,NA,NA,NA,NA,NA
P0000037096,67.0375939849624,2,2,0,1
P0000037097,NA,NA,NA,NA,NA
P0000037098,NA,NA,NA,NA,NA
P0000037099,NA,NA,NA,NA,NA
P0000037100,NA,NA,NA,NA,NA
P0000037101,NA,NA,NA,NA,NA
P0000037102,NA,NA,NA,NA,NA
P0000037103,NA,NA,NA,NA,NA
P0000037104,NA,NA,NA,NA,NA
P0000037105,NA,NA,NA,NA,NA
P0000037106,NA,NA,NA,NA,NA
P0000037107,NA,NA,NA,NA,NA
P0000037108,NA,NA,NA,NA,NA
P0000037109,NA,NA,NA,NA,NA
P0000037110,NA,NA,NA,NA,NA
P0000037111,NA,NA,NA,NA,NA
P0000037112,NA,NA,NA,NA,NA
P0000037113,NA,NA,NA,NA,NA
P0000037114,49.3014354066986,0,0,0,1
P0000037115,75.9917976760082,0,0,0,1
P0000037116,NA,NA,NA,NA,NA
P0000037117,NA,NA,NA,NA,NA
P0000037118,NA,NA,NA,NA,NA
P0000037119,NA,NA,NA,NA,NA
P0000037120,61.4736842105263,3,3,0,1
P0000037121,NA,NA,NA,NA,NA
P0000037122,NA,NA,NA,NA,NA
P0000037123,NA,NA,NA,NA,NA
P0000037124,NA,NA,NA,NA,NA
P0000037125,NA,NA,NA,NA,NA
P0000037126,NA,NA,NA,NA,NA
P0000037127,NA,NA,NA,NA,NA
P0000037128,NA,NA,NA,NA,NA
P0000037129,NA,NA,NA,NA,NA
P0000037130,NA,NA,NA,NA,NA
P0000037131,70.663021189337,4,4,0,1
P0000037132,NA,NA,NA,NA,NA
P0000037133,NA,NA,NA,NA,NA
P0000037134,NA,NA,NA,NA,NA
P0000037135,NA,NA,NA,NA,NA
P0000037136,76.8092959671907,5,5,8,1
P0000037137,NA,NA,NA,NA,NA
P0000037138,NA,NA,NA,NA,NA
P0000037140,NA,NA,NA,NA,NA
P0000037142,NA,NA,NA,NA,NA
P0000037143,NA,NA,NA,NA,NA
P0000037144,NA,NA,NA,NA,NA
P0000037145,NA,NA,NA,NA,NA
P0000037146,NA,NA,NA,NA,NA
P0000037147,37.7552973342447,3,3,0,1
P0000037148,NA,NA,NA,NA,NA
P0000037149,NA,NA,NA,NA,NA
P0000037150,NA,NA,NA,NA,NA
P0000037151,NA,NA,NA,NA,NA
P0000037152,NA,NA,NA,NA,NA
P0000037153,NA,NA,NA,NA,NA
P0000037154,NA,NA,NA,NA,NA
P0000037155,NA,NA,NA,NA,NA
P0000037156,NA,NA,NA,NA,NA
P0000037157,NA,NA,NA,NA,NA
P0000037158,NA,NA,NA,NA,NA
P0000037159,NA,NA,NA,NA,NA
P0000037160,NA,NA,NA,NA,NA
P0000037161,NA,NA,NA,NA,NA
P0000037162,3.02939166097061,0,0,0,1
P0000037163,NA,NA,NA,NA,NA
P0000037164,NA,NA,NA,NA,NA
P0000037165,NA,NA,NA,NA,NA
P0000037166,NA,NA,NA,NA,NA
